Rk,Player,Pos,Team,Gms,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,PPG,Fantasy Points
1,Aaron Rodgers,QB,GB,15,342,501,68,4637,9,45,6,122,60,257,4,3,26.5,397.18
2,Drew Brees,QB,NO,16,468,657,71,5476,8,46,14,111,21,86,4,1,24.5,391.64
3,Cam Newton,QB,CAR,16,310,517,60,4051,8,21,17,85,125,709,6,14,23.1,369.64
4,Tom Brady,QB,NE,16,401,611,66,5235,9,39,12,106,43,109,3,3,22.9,366.30
5,Matthew Stafford,QB,DET,16,421,663,64,5038,8,41,16,97,22,78,4,0,21.5,343.32
6,Eli Manning,QB,NYG,16,358,588,61,4910,8,29,16,93,35,15,0,1,17.5,279.90
7,Tony Romo,QB,DAL,16,346,522,66,4184,8,31,10,103,22,46,2,1,17.2,275.96
8,Matt Ryan,QB,ATL,16,347,566,61,4177,7,29,12,92,37,84,2,2,17.1,273.48
9,Philip Rivers,QB,LAC,16,366,582,63,4624,8,27,20,89,26,36,1,1,15.9,254.56
10,Mark Sanchez,QB,NYJ,16,308,542,57,3474,6,26,18,78,37,103,3,6,14.8,237.26
11,Michael Vick,QB,PHI,13,253,423,60,3303,8,18,14,85,74,590,8,1,17.9,233.12
12,Ryan Fitzpatrick,QB,BUF,16,353,569,62,3832,7,24,23,79,56,208,4,0,13.9,222.08
13,Ben Roethlisberger,QB,PIT,15,324,513,63,4077,8,21,14,90,31,70,2,0,14.4,216.08
14,Alex Smith,QB,SF,16,274,446,61,3150,7,17,5,91,52,179,3,2,13.1,209.90
15,Andy Dalton,QB,CIN,16,300,516,58,3398,7,20,13,80,37,152,4,1,12.9,207.12
16,Josh Freeman,QB,TB,15,346,551,63,3592,7,16,22,75,55,238,4,4,13.7,205.08
17,Joe Flacco,QB,BAL,16,312,542,58,3610,7,20,12,81,40,90,2,1,12.7,202.60
18,Tim Tebow,QB,DEN,14,126,272,46,1729,6,12,7,71,120,666,6,6,14.3,199.76
19,Matt Hasselbeck,QB,TEN,16,319,518,62,3571,7,18,14,82,20,52,3,0,11.9,190.04
20,Tarvaris Jackson,QB,SEA,15,271,450,60,3091,7,14,13,79,41,110,3,1,10.7,160.64
21,Colt McCoy,QB,CLE,13,265,463,57,2733,6,14,11,75,60,214,4,0,12.3,160.22
22,Matt Schaub,QB,HOU,10,178,292,61,2479,9,15,6,97,15,9,1,2,15.8,158.06
23,Matt Moore,QB,MIA,13,211,348,61,2510,7,16,9,87,32,72,2,2,11.8,153.60
24,Rex Grossman,QB,WAS,13,265,458,58,3148,7,16,20,72,20,11,1,1,11.3,147.02
25,Jay Cutler,QB,CHI,10,182,314,58,2319,7,13,7,86,18,56,3,1,13.6,136.36
26,Carson Palmer,QB,OAK,10,199,328,61,2751,8,13,16,80,16,20,1,1,13.6,136.04
27,Christian Ponder,QB,MIN,11,158,291,54,1853,6,13,13,70,28,219,8,0,10.7,118.02
28,Blaine Gabbert,QB,JAX,15,210,413,51,2214,5,12,11,65,48,98,2,0,7.6,114.36
29,John Skelton,QB,ARI,8,151,275,55,1913,7,11,14,69,28,128,5,0,12.9,103.32
30,Kevin Kolb,QB,ARI,9,146,253,58,1955,8,9,8,81,17,65,4,0,11,98.70
31,Matt Cassel,QB,KC,9,160,269,60,1713,6,10,9,77,25,99,4,0,10.7,96.02
32,Sam Bradford,QB,LAR,10,190,356,53,2157,6,6,6,70,18,26,1,0,8.7,86.88
33,Kyle Orton,QB,KC,9,150,252,60,1758,7,9,9,78,11,13,1,0,9.5,85.62
34,Jason Campbell,QB,OAK,6,100,165,61,1170,7,6,4,84,18,60,3,2,13.1,78.80
35,Curtis Painter,QB,IND,9,132,243,54,1541,6,6,9,67,17,107,6,0,8,72.34
36,Donovan McNabb,QB,MIN,6,94,156,60,1026,7,4,2,83,14,59,4,1,10.8,64.94
37,Chad Henne,QB,MIA,4,64,112,57,868,8,4,4,79,14,101,7,1,14.7,58.82
38,Dan Orlovsky,QB,IND,8,122,193,63,1201,6,6,4,82,6,5,1,0,7.3,58.54
39,John Beck,QB,WAS,4,80,132,61,858,7,2,4,72,12,43,4,2,12.7,50.62
40,Joe Webb,QB,MIN,11,34,63,54,376,6,3,2,75,22,154,7,2,4.5,49.34
41,Jake Locker,QB,TEN,5,34,66,52,542,8,4,0,99,8,56,7,1,9.9,49.28
42,Matt Flynn,QB,GB,5,33,49,67,518,11,6,2,125,13,-6,-1,1,8.8,44.12
43,TJ Yates,QB,HOU,6,82,134,61,949,7,3,3,81,14,57,4,0,7.3,43.66
44,Vince Young,QB,PHI,6,66,114,58,866,8,4,9,61,18,79,4,0,6.8,40.54
45,Kellen Clemens,QB,LAR,3,48,91,53,546,6,2,1,74,6,37,6,1,12.5,37.54
46,Seneca Wallace,QB,CLE,6,55,107,51,567,5,2,2,65,7,70,10,0,5.6,33.78
47,Caleb Hanie,QB,CHI,6,51,102,50,613,6,3,9,42,13,98,8,0,4.7,28.32
48,Tyler Palko,QB,KC,6,81,135,60,802,6,2,7,60,5,15,3,0,4.3,25.58
49,Josh McCown,QB,CHI,3,35,55,64,414,8,2,4,68,12,68,6,0,8.5,25.36
50,Kerry Collins,QB,IND,3,48,98,49,481,5,2,1,66,2,-1,-1,0,6.4,19.14
51,AJ Feeley,QB,LAR,5,53,97,55,548,6,1,2,66,3,4,1,0,3.7,18.32
52,Josh Johnson,QB,TB,9,19,36,53,246,7,1,2,61,11,67,6,0,1.6,14.54
53,Stephen McGee,QB,DAL,1,24,38,63,182,5,1,0,83,4,28,7,0,14.1,14.08
54,Charlie Whitehurst,QB,SEA,3,27,56,48,298,5,1,1,63,5,10,2,0,4.3,12.92
55,Jake Delhomme,QB,HOU,1,18,28,64,211,8,1,0,99,0,0,0,0,10.4,10.44
56,Bruce Gradkowski,QB,CIN,2,8,18,44,109,6,1,1,60,3,1,0,0,3.2,6.46
57,Richard Bartel,QB,ARI,2,10,22,46,86,4,1,1,52,1,9,9,0,3.2,6.34
58,Matt Leinart,QB,HOU,2,10,13,77,57,4,1,0,110,1,-1,-1,0,3.1,6.18
59,Charlie Batch,QB,PIT,4,15,24,63,208,9,0,1,73,3,-2,-1,0,1.5,6.12
60,Chris Redman,QB,ATL,5,18,28,64,188,7,0,1,69,5,-6,-1,0,1,4.92
61,Kyle Boller,QB,OAK,2,15,28,54,161,6,0,3,31,9,38,4,0,2.1,4.24
62,Luke McCown,QB,JAX,4,30,56,54,296,5,0,4,39,7,23,3,0,1,4.14
63,Jon Kitna,QB,DAL,3,6,10,60,87,9,1,2,82,3,-2,-1,0,1.1,3.28
64,JP Losman,QB,MIA,2,6,10,60,60,6,0,0,77,2,1,1,0,1.2,2.50
65,Shaun Hill,QB,DET,2,2,3,67,33,11,0,0,103,1,-1,-1,0,0.6,1.22
66,Colin Kaepernick,QB,SF,3,3,5,60,35,7,0,0,81,2,-2,-1,0,0.4,1.20
67,Mark Brunell,QB,NYJ,16,1,3,33,27,9,0,0,67,0,0,0,0,0.1,1.08
68,Tyrod Taylor,QB,BAL,3,1,1,100,18,18,0,0,119,1,2,2,0,0.3,0.92
69,Chase Daniel,QB,NO,16,4,5,80,29,6,0,0,91,3,-3,-1,0,0.1,0.86
70,Brian Hoyer,QB,NE,3,1,1,100,22,22,0,0,119,4,-3,-1,0,0.2,0.58
71,Mike Kafka,QB,PHI,4,11,16,69,107,7,0,2,48,3,0,0,0,0.1,0.28
72,Tom Brandstater,QB,LAR,1,0,2,0,0,0,0,0,40,0,0,0,0,0,0
73,Rudy Carpenter,QB,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Derek Anderson,QB,CAR,2,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.1,-0.20
75,Billy Volek,QB,LAC,2,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.50
